Beam_Type,beam_width,beam_height,beam_length,flange_width,flange_height,web_thickness,concrete_compressive_strength,concrete_modulus_of_elasticity,yield_strength_of_reinforcement,prestressing_strength,steel_modulus_of_elasticity,area_of_steel_reinforcement,area_of_prime_reinforcement,area_of_prestressing_reinforcement,number_of_strands,axial_load,bond_condition,Cracking Load,Ultimate Moment,Ultimate Load,Axial Displacement
Prestressed T-Beam,499,979,8421,499,0,218,46,31876.95092,422,1704,200000,1357,693,110,1,0.131208,B,378.4352953,248.0275978,522.1601002,19.85597949
Rectangular RC,281,637,4987,281,0,370,28,24870.06232,452,1827,200000,3395,544,893,5,1.1420577,U,70.390004,578.2119445,720.8857418,7.654333642
Rectangular PC,410,989,8635,410,0,218,20,21019.03899,412,1786,200000,2105,110,737,4,0.9213974,B,209.2368761,351.2372776,758.233473,19.68889768
Rectangular RC,349,1184,7829,349,0,387,25,23500,470,1769,200000,2068,911,246,3,0.3046218,B,285.3945173,529.3555246,1036.081101,19.53750577
Rectangular RC,236,394,4985,236,202,188,38,28972.74581,457,1786,200000,4354,42,841,1,1.0514182,U,26.3477197,336.8613882,419.813505,13.60829773
Rectangular PC,551,844,6292,551,0,358,20,21019.03899,462,1640,200000,3335,444,695,8,0.79786,U,204.7850646,694.7231216,1092.79947,8.074373356
Prestressed T-Beam,511,922,6242,1137,143,306,27,24421.91639,464,1682,200000,4031,93,955,3,1.124417,B,263.3367152,946.5858821,1477.147269,14.02431814
Rectangular RC,560,445,9461,1473,0,224,25,23500,441,1746,200000,3442,898,586,4,0.7162092,U,64.68816667,210.960363,498.9739985,19.93813631
Rectangular RC,258,1192,8091,258,0,235,23,22540.40816,494,1746,200000,4683,346,617,4,0.7540974,U,205.1081533,1040.957462,2105.596706,22.59248788
Rectangular RC,330,530,9356,330,152,180,22,22044.95407,499,1880,200000,4692,314,651,1,0.856716,B,50.7252048,288.0815038,673.8226375,12.37906669
Rectangular RC,401,1083,3252,401,0,380,32,26587.21497,488,1766,200000,1023,127,264,1,0.3263568,U,310.4009664,618.7276229,503.0255574,11.76192942
Rectangular RC,442,1147,3123,442,155,214,45,31528.55848,439,1855,200000,2818,403,220,4,0.28567,U,455.0950918,1676.268727,1308.746809,8.935831941
Rectangular PC,234,794,4236,234,0,164,21,21538.10577,493,1822,200000,4622,117,164,6,0.2091656,B,78.87026486,1008.569596,1068.075202,12.33546167
Rectangular PC,292,337,3623,515,0,232,32,26587.21497,420,1693,200000,3672,254,407,6,0.4823357,B,21.88590108,319.1086693,289.0326773,9.77841491
Rectangular RC,406,724,6156,1190,0,223,40,29725.41001,482,1760,200000,1192,671,869,4,1.070608,B,157.0290312,242.9172109,373.8495875,11.73496103
Rectangular PC,552,946,8635,1341,106,158,34,27405.47391,479,1847,200000,3566,404,329,6,0.4253641,B,336.0528622,664.6223148,1434.753422,15.81090848
Rectangular PC,590,1145,6136,590,0,162,27,24421.91639,432,1867,200000,1050,45,140,2,0.182966,B,468.9123344,318.0966839,487.9603131,16.35816655
Prestressed T-Beam,531,1046,6389,531,229,269,31,26168.49251,469,1757,200000,2822,500,929,4,1.1425771,B,377.3857756,784.0463183,1252.317982,19.83110433
Prestressed T-Beam,504,736,6417,1486,0,194,27,24421.91639,441,1669,200000,513,254,129,4,0.1507107,B,165.506417,95.00877659,152.4178298,24.66031812
Prestressed T-Beam,549,1130,4655,675,231,239,38,28972.74581,436,1769,200000,3898,964,187,5,0.2315621,B,504.1593424,1503.586501,1749.798791,6.791130265
Rectangular PC,412,667,4266,412,0,283,28,24870.06232,471,1860,200000,2453,496,844,1,1.098888,U,113.155245,601.8792027,641.9041697,9.711977964
Rectangular PC,358,644,5945,1464,225,253,29,25310.27459,400,1814,200000,3275,887,905,3,1.149169,B,93.28258015,455.9342189,677.6322329,13.19726305
Rectangular PC,223,459,4160,223,0,193,40,29725.41001,476,1677,200000,2160,121,830,3,0.974337,B,34.66626235,334.8413708,348.2350257,24.35224296
Rectangular PC,492,849,5294,1312,0,151,42,30459.48128,425,1792,200000,1948,897,385,4,0.482944,U,268.1340192,483.4988814,639.9107695,10.62543218
Rectangular PC,203,961,3440,203,0,306,46,31876.95092,479,1736,200000,4389,469,225,3,0.27342,B,148.3434991,1897.149273,1631.548375,22.54459739
Rectangular PC,419,1119,5092,772,0,325,44,31176.27303,438,1743,200000,4706,710,748,6,0.9126348,B,406.0199037,1620.375599,2062.738137,13.1195455
Rectangular PC,563,840,5705,563,264,274,26,23965.39171,446,1634,200000,4162,361,712,2,0.8143856,U,236.3199742,927.8404427,1323.332431,24.17397899
Rectangular PC,581,443,6759,581,194,161,29,25310.27459,455,1871,200000,822,201,371,5,0.4858987,U,71.63567763,83.54328628,141.167268,5.725782267
Prestressed T-Beam,219,887,8112,219,0,364,22,22044.95407,457,1760,200000,1367,947,959,6,1.181488,B,94.28649347,233.5695336,473.6790141,9.839176308
Rectangular RC,351,956,3553,351,251,263,21,21538.10577,427,1678,200000,1370,999,943,9,1.1076478,U,171.5060079,564.2876153,501.2284743,5.780071106
Prestressed T-Beam,249,1040,7904,249,0,216,47,32221.57662,456,1726,200000,716,0,943,1,1.1393326,B,215.4079583,160.4538031,317.0567149,20.03347768
Rectangular RC,376,875,8066,376,204,327,26,23965.39171,486,1603,200000,1012,591,150,3,0.168315,U,171.252695,193.3927316,389.9764433,18.03875952
Rectangular PC,295,1158,4112,715,139,160,29,25310.27459,470,1785,200000,2463,616,108,7,0.134946,U,248.5334928,1155.249305,1187.596286,9.640866612
Rectangular PC,304,644,5777,304,0,154,27,24421.91639,487,1661,200000,2147,667,470,8,0.546469,B,76.43178284,373.9771379,540.1164814,6.101801993
Rectangular PC,449,568,4833,916,0,194,31,26168.49251,471,1880,200000,1110,879,790,5,1.03964,B,94.09588883,213.4965912,257.9572563,20.84472316
Rectangular RC,316,1139,4314,316,0,351,47,32221.57662,444,1880,200000,2178,700,312,9,0.410592,B,327.8915686,939.862997,1013.642242,20.19893709
Rectangular PC,553,995,6493,553,113,266,39,29351.49059,464,1722,200000,1399,339,756,8,0.9112824,U,398.8874623,369.8245482,600.3176979,23.38703358
Prestressed T-Beam,427,1072,6138,427,0,395,36,28200,403,1881,200000,3487,409,772,1,1.0164924,B,343.4910976,884.3898032,1357.096153,8.34378402
Rectangular RC,265,567,8370,1335,0,324,41,30094.68392,460,1827,200000,3133,78,901,1,1.1522889,B,63.64300975,300.6153116,629.0375395,16.47961275
Rectangular RC,534,468,6112,534,0,283,28,24870.06232,460,1782,200000,3516,126,189,8,0.2357586,U,72.20358618,372.4484798,569.1012771,23.363777
Prestressed T-Beam,461,1070,3098,1299,0,229,39,29351.49059,442,1730,200000,1711,93,601,9,0.727811,B,384.5453586,969.379159,750.7841587,9.110951648
Prestressed T-Beam,494,1038,6925,494,161,372,22,22044.95407,418,1756,200000,4129,779,453,9,0.5568276,U,291.2592897,889.3382825,1539.666902,17.14665439
Prestressed T-Beam,442,332,4479,442,0,364,41,30094.68392,485,1785,200000,1294,126,713,6,0.8908935,B,36.39461711,145.2346643,162.6265154,17.14208399
Prestressed T-Beam,570,676,8710,1174,179,243,41,30094.68392,499,1834,200000,2398,129,700,7,0.89866,B,194.5839278,326.080718,710.0407634,5.836096033
Rectangular RC,385,513,7396,645,175,381,23,22540.40816,400,1748,200000,2575,713,325,5,0.39767,B,56.68996219,218.4097865,403.8396953,20.64502634
Prestressed T-Beam,445,861,4222,445,113,233,26,23965.39171,418,1642,200000,606,90,735,4,0.844809,U,196.2455319,190.940105,201.5372808,20.79017087
Prestressed T-Beam,324,739,8778,324,0,238,46,31876.95092,450,1603,200000,4522,375,149,8,0.1671929,B,140.0101731,562.0997365,1233.527872,8.833858497
Rectangular RC,467,791,7583,467,266,376,37,28588.98389,463,1797,200000,4140,20,659,3,0.8289561,U,207.3564262,680.7276684,1290.489477,5.850448289
Prestressed T-Beam,330,692,8520,330,0,346,36,28200,462,1877,200000,1135,54,400,7,0.52556,B,110.617584,151.0421807,321.7198449,19.4005281
Prestressed T-Beam,436,788,4004,436,0,340,46,31876.95092,428,1605,200000,1262,911,178,6,0.199983,B,214.2222763,388.3248711,388.713196,7.69626005
Prestressed T-Beam,217,1021,3476,1136,125,260,41,30094.68392,418,1749,200000,1213,36,805,8,0.9855615,B,168.9856926,545.5294153,474.0650619,18.78911114
Prestressed T-Beam,239,328,8241,239,180,216,22,22044.95407,442,1871,200000,622,940,954,6,1.2494538,U,14.0703117,32.65901737,67.28574053,8.005956791
Rectangular RC,220,338,8431,220,207,324,22,22044.95407,469,1763,200000,1854,85,656,2,0.8095696,B,13.75353102,74.1829537,156.3591207,22.20661456
Rectangular PC,598,1158,4135,598,0,311,32,26587.21497,488,1777,200000,571,294,937,5,1.1655343,B,529.224671,295.6794074,305.6585874,17.22965396
Rectangular PC,424,911,5856,424,162,161,36,28200,438,1657,200000,2440,680,970,4,1.125103,U,246.3205528,596.6394247,873.4801178,16.53544252
Rectangular PC,554,472,4705,934,110,176,48,32562.55518,422,1798,200000,792,277,901,3,1.1339986,B,99.76108648,117.097516,137.7359532,15.68650652
Rectangular PC,481,316,3517,869,0,346,37,28588.98389,400,1686,200000,4491,560,733,6,0.8650866,U,34.08528215,417.0477575,366.6892408,5.824941324
Rectangular PC,207,355,4220,1237,0,254,38,28972.74581,460,1778,200000,1121,976,273,5,0.3397758,B,18.76141713,129.0068454,136.1022219,21.77569163
Rectangular RC,299,525,5506,299,0,235,36,28200,478,1677,200000,2816,656,546,3,0.6409494,U,57.6883125,390.1149668,536.9932518,14.0634818
Rectangular RC,439,857,7325,439,273,345,43,30819.96106,424,1646,200000,2409,409,698,6,0.8042356,U,246.6648017,430.9726632,789.2186894,12.40123935
Rectangular RC,286,366,4191,1087,0,396,35,27805.57498,403,1733,200000,4910,100,690,4,0.837039,U,26.44289593,372.4609083,390.2459167,17.62016465
Prestressed T-Beam,497,496,6880,497,0,399,35,27805.57498,400,1752,200000,3448,805,741,7,0.9087624,B,84.39185896,318.2267444,547.3500004,14.99524132
Prestressed T-Beam,213,953,9151,968,0,266,41,30094.68392,439,1868,200000,2059,421,905,1,1.183378,U,144.5120703,331.7360155,758.9290694,10.75070816
Rectangular PC,533,1134,6243,533,0,305,44,31176.27303,420,1714,200000,1342,808,956,3,1.1470088,B,530.4280057,385.4609595,601.6081925,7.963139145
Rectangular RC,201,322,4977,201,0,348,20,21019.03899,442,1652,200000,1995,636,939,5,1.0858596,B,10.87350575,99.55006864,123.8651729,7.026822506
Rectangular PC,574,905,8479,574,0,389,46,31876.95092,409,1841,200000,1486,105,671,2,0.8647177,B,371.9929903,240.5462833,509.8979839,9.730055469
Prestressed T-Beam,492,1053,5242,1295,0,322,33,26999.44444,465,1886,200000,3741,752,686,9,0.9056572,U,365.6163466,1244.409567,1630.798738,22.40219419
Rectangular RC,524,536,6090,972,0,375,47,32221.57662,416,1666,200000,1146,834,640,1,0.746368,B,120.4083444,147.831449,225.0733811,7.196562706
Prestressed T-Beam,240,865,9497,240,289,279,34,27405.47391,412,1782,200000,2919,627,159,4,0.1983366,B,122.1601915,367.6419301,872.8738525,21.30456527
Prestressed T-Beam,517,437,4887,953,131,286,23,22540.40816,490,1830,200000,2699,584,168,4,0.215208,B,55.24132981,345.3916778,421.9822824,22.36402764
Prestressed T-Beam,515,772,8168,515,0,356,39,29351.49059,491,1884,200000,2008,320,776,2,1.0233888,B,223.6252931,333.4507171,680.9063644,21.50132525
Rectangular PC,580,1144,7559,580,0,180,40,29725.41001,409,1762,200000,3186,951,695,1,0.857213,B,560.088722,729.8597623,1379.252486,22.2716727
Rectangular RC,310,1083,9499,310,171,313,30,25742.9602,451,1703,200000,864,402,879,1,1.0478559,U,232.3410909,165.0467748,391.9448284,9.300477825
Prestressed T-Beam,213,852,9993,213,0,262,37,28588.98389,409,1762,200000,3107,13,435,5,0.536529,B,109.725216,358.4284947,895.4439869,24.90847621
Prestressed T-Beam,430,909,3973,430,125,254,48,32562.55518,446,1885,200000,2441,487,440,1,0.58058,U,287.1862418,904.7878871,898.6805688,15.85642772
Rectangular PC,283,994,8277,537,267,164,36,28200,408,1870,200000,3483,113,776,4,1.015784,U,195.7299316,590.2303772,1221.334208,21.21259289
Rectangular RC,329,939,3065,329,0,246,47,32221.57662,497,1628,200000,1827,763,797,4,0.9082612,B,232.0185995,1009.583956,773.5937061,14.70458189
Prestressed T-Beam,430,528,9092,430,0,339,28,24870.06232,445,1674,200000,3856,229,666,4,0.7804188,B,74.00517773,295.6740193,672.0670459,8.81861147
Rectangular PC,525,616,5906,525,0,180,40,29725.41001,467,1711,200000,2564,65,469,5,0.5617213,B,146.9932909,429.7781301,634.5674091,21.92340718
Rectangular PC,344,897,3570,610,205,304,43,30819.96106,453,1847,200000,2269,454,632,2,0.8171128,U,211.750452,925.5032689,826.0116675,14.81275562
Rectangular RC,578,1067,6892,1389,0,151,33,26999.44444,467,1845,200000,1814,677,575,3,0.7426125,B,441.0221853,485.9487264,837.2896556,24.44550295
Prestressed T-Beam,544,1020,3307,544,0,350,47,32221.57662,403,1657,200000,1728,554,325,7,0.3769675,U,452.6838093,801.4446997,662.5944055,21.22640654
Prestressed T-Beam,227,1026,6408,227,195,192,22,22044.95407,474,1739,200000,4729,246,984,9,1.1978232,B,130.7611432,992.7052666,1590.313837,20.0099788
Prestressed T-Beam,265,1185,6742,265,0,264,39,29351.49059,400,1842,200000,3439,888,491,5,0.6330954,B,271.1200699,860.3765716,1450.164711,19.38275339
Rectangular PC,362,911,3782,896,0,272,39,29351.49059,484,1891,200000,3933,765,465,5,0.6155205,B,218.8892422,1568.73355,1483.237572,17.18294879
Rectangular RC,428,860,7216,428,0,150,41,30094.68392,458,1849,200000,2006,219,450,9,0.582435,U,236.4718176,395.5618526,713.5935821,22.94485133
Prestressed T-Beam,460,500,3765,1489,213,360,23,22540.40816,424,1729,200000,3089,393,248,8,0.3001544,U,64.34407294,521.3622456,490.7322136,17.4214752
Rectangular RC,363,557,6475,1286,0,158,35,27805.57498,408,1890,200000,4433,344,934,8,1.235682,U,77.73163938,470.1238578,761.0129949,24.91966527
Prestressed T-Beam,500,779,3772,500,256,337,40,29725.41001,424,1724,200000,3697,636,286,5,0.3451448,B,223.8833027,1131.007582,1066.54015,15.44817152
Prestressed T-Beam,502,1187,6857,502,0,279,31,26168.49251,481,1863,200000,2235,533,224,4,0.2921184,U,459.4442193,685.9806649,1175.942355,6.6352236
Rectangular RC,486,477,9239,486,0,250,49,32900,470,1800,200000,3898,74,440,3,0.5544,U,90.3062601,300.8122741,694.80115,20.14860779
Prestressed T-Beam,594,1056,6185,594,0,390,40,29725.41001,425,1883,200000,3293,575,320,4,0.421792,U,488.754835,876.9162806,1355.931799,5.879709494
Rectangular RC,209,422,8082,209,0,335,27,24421.91639,455,1787,200000,1676,103,899,3,1.1245591,B,22.56315671,109.4550259,221.1538797,12.71440913
Rectangular PC,394,641,9105,394,0,342,28,24870.06232,448,1643,200000,4949,505,797,6,0.9166297,B,99.93971029,458.0698231,1042.681435,13.98867889
Prestressed T-Beam,317,470,3539,317,130,259,30,25742.9602,481,1609,200000,1895,556,724,3,0.8154412,U,44.74684247,372.0362818,329.1591003,22.75805042
Prestressed T-Beam,469,1144,5049,469,0,289,43,30819.96106,464,1604,200000,3184,485,253,3,0.2840684,U,469.5760184,1227.0883,1548.892206,16.22182641
Rectangular PC,279,947,6283,279,0,332,47,32221.57662,460,1774,200000,1474,713,624,1,0.7748832,U,200.1243249,372.9959633,585.8834093,23.8822544
Prestressed T-Beam,292,358,7675,680,0,367,24,23025.20358,408,1758,200000,3213,273,882,9,1.0853892,B,21.38953362,133.5436289,256.236838,9.802990619
Rectangular PC,465,1004,4663,465,0,287,31,26168.49251,409,1843,200000,4522,510,613,5,0.7908313,U,304.4724592,1389.843969,1620.210607,10.61111583
Prestressed T-Beam,531,764,9476,531,128,392,47,32221.57662,410,1628,200000,3790,68,340,1,0.387464,U,247.9002455,442.6710515,1048.687721,12.30366731
Rectangular RC,549,1079,4047,549,0,260,41,30094.68392,495,1753,200000,2180,10,260,4,0.319046,B,477.478644,1064.754146,1077.265007,19.59680544
Rectangular PC,560,559,6836,560,0,214,39,29351.49059,484,1694,200000,1194,410,547,3,0.6486326,U,127.4942903,166.0090072,283.7093933,18.60342604
Rectangular RC,456,672,6439,456,269,214,21,21538.10577,435,1601,200000,2735,884,130,7,0.145691,U,110.0930303,403.8431641,650.0865334,9.116190319
Prestressed T-Beam,332,394,9885,963,209,210,30,25742.9602,455,1691,200000,4769,794,676,6,0.8001812,B,32.93350429,187.3301008,462.9395116,13.07437256
Rectangular PC,475,424,3505,475,0,384,30,25742.9602,431,1655,200000,931,443,818,8,0.947653,B,54.56733448,162.5358126,142.4220058,12.0359294
Prestressed T-Beam,463,340,6247,463,0,244,40,29725.41001,482,1835,200000,3633,419,281,8,0.3609445,U,39.49258944,259.995745,406.0483548,20.18531979
Prestressed T-Beam,370,1190,6500,370,0,352,20,21019.03899,471,1614,200000,1667,952,714,8,0.8066772,U,273.3741428,519.4535339,844.1119925,12.35998297
Rectangular RC,200,553,4910,200,0,346,36,28200,434,1684,200000,2927,780,728,5,0.8581664,B,42.81326,410.5542034,503.9552847,20.11804858
Prestressed T-Beam,512,306,3732,797,0,184,36,28200,485,1853,200000,734,622,242,3,0.3138982,U,33.5591424,92.38913607,86.19906396,15.96703687
Rectangular RC,263,770,6513,644,136,288,23,22540.40816,403,1820,200000,4020,411,439,4,0.559286,U,87.24647845,557.1406367,907.1642418,23.85172618
Prestressed T-Beam,573,1027,4571,515,0,345,33,26999.44444,492,1848,200000,1315,321,279,7,0.3609144,U,405.0412631,540.3285178,617.4604137,24.55334159
Rectangular PC,483,810,7609,483,0,187,24,23025.20358,461,1644,200000,2498,518,426,8,0.4902408,B,181.1213218,423.1966658,805.0258576,17.59047978
Rectangular PC,320,880,5942,320,0,263,23,22540.40816,462,1619,200000,660,95,199,9,0.2255267,U,138.6519654,164.8538117,244.8903372,23.39303115
Prestressed T-Beam,306,368,7456,306,0,188,25,23500,494,1723,200000,2746,965,270,5,0.325647,B,24.173184,153.6948376,286.4871772,19.43310341
Rectangular PC,374,380,5321,374,0,298,37,28588.98389,407,1745,200000,3899,402,879,4,1.0736985,U,38.32537801,310.2129804,412.6608172,18.55780311
Rectangular PC,403,841,9320,403,0,269,40,29725.41001,475,1829,200000,1437,526,304,7,0.3892112,U,210.3167311,223.6948089,521.2089048,14.31001805
Rectangular PC,364,884,6335,606,284,313,32,26587.21497,468,1660,200000,3483,342,616,4,0.715792,U,187.7274118,771.080231,1221.198316,16.20474529
Rectangular PC,504,561,7622,504,163,259,25,23500,460,1720,200000,4064,599,233,3,0.280532,B,92.527974,413.2532327,787.4540349,12.7885473
Rectangular RC,319,388,7374,1434,104,369,34,27405.47391,493,1855,200000,2689,301,616,4,0.799876,B,32.66934163,189.5582229,349.450584,8.499387656
Rectangular RC,243,507,5753,243,0,349,24,23025.20358,462,1803,200000,3382,111,929,8,1.1724909,B,35.700525,322.5485895,463.9055089,23.49447965
Rectangular PC,511,512,4372,1420,0,169,25,23500,460,1604,200000,3999,307,528,8,0.5928384,U,78.14075733,630.7903507,689.4538534,9.237499582
Rectangular PC,355,1133,9042,355,240,192,43,30819.96106,498,1676,200000,1325,987,650,6,0.76258,B,348.6335597,307.9804248,696.1897503,15.838512
Rectangular PC,566,565,4444,566,0,387,37,28588.98389,436,1740,200000,3733,535,974,8,1.186332,U,128.221537,683.8258006,759.7304644,19.741962
Rectangular PC,406,592,6376,1309,0,298,48,32562.55518,403,1699,200000,4083,53,338,4,0.4019834,U,115.0103315,505.6431384,805.9951626,21.47063196
Prestressed T-Beam,589,506,9207,753,0,312,26,23965.39171,455,1807,200000,1964,692,937,3,1.1852113,U,89.71184576,162.7382759,374.5828266,12.11213011
Rectangular RC,307,632,3289,307,0,213,49,32900,442,1895,200000,4319,567,857,7,1.1368105,U,100.1422539,1172.101152,963.760172,18.15762924
Rectangular RC,450,376,5065,450,0,256,25,23500,420,1794,200000,844,277,489,6,0.6140862,B,37.1112,85.37336857,108.104028,13.8634598
Prestressed T-Beam,569,587,3063,569,0,181,45,31528.55848,457,1779,200000,2615,233,942,6,1.1730726,B,153.4410336,791.312061,605.9472107,21.43467414
Rectangular RC,533,346,6945,533,208,185,27,24421.91639,415,1857,200000,2798,759,574,2,0.7461426,B,38.68192498,164.5446745,285.690691,18.14319327
Rectangular PC,329,921,3329,329,0,254,44,31176.27303,452,1794,200000,1524,197,627,2,0.7873866,B,215.9674429,695.6835218,578.982611,5.93485588
Rectangular PC,492,499,8989,492,259,218,49,32900,417,1738,200000,4200,430,976,5,1.1874016,U,100.0486018,314.6759284,707.1554802,17.19930475
Prestressed T-Beam,219,726,7858,219,212,258,43,30819.96106,456,1610,200000,4007,259,806,3,0.908362,B,88.30765935,520.2674493,1022.065404,19.04842831
Rectangular RC,481,509,4963,481,0,329,49,32900,494,1865,200000,821,161,259,3,0.3381245,U,101.7713348,145.9110873,181.0391815,23.17255824
Rectangular RC,484,1187,6088,484,0,281,24,23025.20358,437,1627,200000,4587,178,380,9,0.432782,B,389.7617441,1360.479657,2070.650038,6.013578271
Prestressed T-Beam,200,719,5490,973,0,156,23,22540.40816,431,1718,200000,3548,230,949,9,1.1412674,B,57.84935007,524.7166708,720.1736307,16.94061037
Rectangular PC,318,453,3140,1484,194,375,38,28972.74581,496,1848,200000,4391,794,182,1,0.2354352,U,46.93124895,817.0188905,641.359829,15.01458608
Rectangular RC,234,821,8427,1064,112,233,29,25310.27459,418,1606,200000,4744,405,979,6,1.1005918,B,99.0941371,561.5601817,1183.066913,17.82222055
Rectangular PC,397,714,7539,397,0,392,28,24870.06232,483,1742,200000,2221,750,577,2,0.7035938,B,124.9432319,344.195661,648.722772,20.30616849
Rectangular PC,444,652,9639,444,0,348,42,30459.48128,447,1606,200000,3836,693,646,5,0.7262332,U,142.7084195,388.0953357,935.2127353,7.686915488
Prestressed T-Beam,258,456,5473,258,0,393,20,21019.03899,473,1654,200000,698,911,214,2,0.2477692,U,27.99053366,88.28141695,120.7910487,15.83827623
Prestressed T-Beam,524,560,8594,632,182,301,38,28972.74581,425,1619,200000,3653,607,785,6,0.8896405,U,118.1805288,333.5820156,716.7009606,15.41215969
Rectangular PC,360,376,6903,360,0,298,48,32562.55518,481,1602,200000,4674,568,921,9,1.0328094,B,41.13822972,321.7341698,555.2327436,15.30231736
Rectangular PC,378,1068,8364,378,250,334,31,26168.49251,444,1619,200000,2477,452,126,7,0.1427958,B,280.0670015,505.0774665,1056.116982,13.26688967
Rectangular RC,405,787,3449,405,0,350,38,28972.74581,444,1865,200000,675,58,565,1,0.7376075,U,180.4027178,251.3152265,216.696554,21.99132721
Rectangular PC,211,430,4825,211,0,296,32,26587.21497,414,1826,200000,2883,296,112,6,0.1431584,U,25.74786037,270.6396934,326.4591302,6.26618641
Rectangular PC,475,878,7446,475,0,398,41,30094.68392,499,1817,200000,4528,160,975,2,1.2401025,U,273.5403255,919.1474681,1710.993012,12.69672455
Rectangular PC,380,754,7694,380,0,361,34,27405.47391,417,1764,200000,1223,684,988,2,1.2199824,B,146.9645322,179.8372754,345.9169992,16.83511505
Rectangular RC,441,1039,7806,559,0,398,48,32562.55518,430,1650,200000,3040,866,514,3,0.59367,B,384.8017982,636.4683175,1242.067922,23.17834007
Rectangular PC,415,462,3869,415,0,305,21,21538.10577,414,1769,200000,2662,68,728,8,0.9014824,B,47.35746913,381.8229525,369.3182508,17.60273523
Rectangular PC,450,314,9079,450,221,309,39,29351.49059,492,1629,200000,2996,406,550,7,0.627165,U,32.32592069,137.7390223,312.6331459,7.622887016
Prestressed T-Beam,498,531,8280,498,223,183,31,26168.49251,414,1843,200000,1821,173,130,4,0.167713,U,91.21074888,163.8078071,339.0821607,18.61941491
Rectangular RC,325,494,6564,325,0,394,37,28588.98389,464,1644,200000,3887,356,315,3,0.362502,U,56.28399431,388.2711616,637.1529763,11.79042842
Rectangular PC,416,1160,6659,416,0,165,40,29725.41001,486,1814,200000,2880,894,289,1,0.3669722,B,413.0342769,889.5569547,1480.88994,16.74109196
Rectangular PC,505,841,6602,1430,0,187,48,32562.55518,445,1622,200000,4590,287,858,4,0.9741732,B,288.7026552,914.4549791,1509.307943,16.42152951
Rectangular RC,484,658,3392,484,0,264,23,22540.40816,474,1652,200000,3422,563,392,8,0.4533088,U,117.2486515,994.2363433,843.1124191,8.44730319
Rectangular RC,384,1149,3841,384,0,391,39,29351.49059,415,1641,200000,4574,205,761,1,0.8741607,B,369.3604366,2020.160179,1939.858811,21.37741662
Prestressed T-Beam,238,630,5448,238,0,230,31,26168.49251,454,1763,200000,1445,884,452,2,0.5578132,B,61.36004826,252.9693356,344.5442351,15.80146094
Rectangular PC,422,726,9193,422,0,352,39,29351.49059,429,1703,200000,4193,32,784,2,0.9346064,B,162.055877,476.8157186,1095.841725,12.72786743
Prestressed T-Beam,383,796,5791,383,206,268,32,26587.21497,492,1761,200000,3262,452,242,9,0.2983134,U,160.1572814,738.8173316,1069.622792,9.117700685
Prestressed T-Beam,377,1127,8414,377,149,281,23,22540.40816,440,1753,200000,2304,952,969,1,1.1890599,U,267.9167646,484.6997633,1019.565952,23.32071855
Rectangular PC,493,785,5953,493,0,205,33,26999.44444,466,1602,200000,2526,162,161,6,0.1805454,B,203.6057283,545.7003232,812.138506,9.841030757
Prestressed T-Beam,539,1107,8131,1194,298,317,40,29725.41001,416,1642,200000,2834,745,717,4,0.8241198,U,487.3722439,592.9281375,1205.274671,23.69780047
Prestressed T-Beam,350,748,4358,350,137,269,37,28588.98389,425,1653,200000,986,949,305,9,0.3529155,U,138.969307,260.1861069,283.4727634,15.82854462
Rectangular RC,583,712,3990,583,0,199,25,23500,472,1612,200000,2845,232,403,6,0.4547452,B,172.4032053,814.8636578,812.8264987,15.05646927
Rectangular RC,325,629,4038,770,188,258,20,21019.03899,480,1711,200000,2105,110,223,9,0.2670871,B,67.08824628,485.4935327,490.1057213,14.43558328
Rectangular PC,500,1031,3027,500,225,266,29,25310.27459,463,1655,200000,3545,485,626,2,0.725221,U,333.9128432,1977.875156,1496.757024,22.63316516
Rectangular PC,507,1188,3387,507,0,317,37,28588.98389,494,1703,200000,3429,825,603,2,0.7188363,B,507.7950842,2165.309986,1833.476231,21.2796655
Rectangular PC,535,446,8411,535,0,255,38,28972.74581,457,1774,200000,3213,725,896,6,1.1126528,B,76.53535261,245.1118761,515.4089975,18.52522527
Prestressed T-Beam,433,558,3832,433,144,231,21,21538.10577,494,1667,200000,2562,69,637,2,0.7433153,U,72.0796603,559.6576032,536.1519839,15.47647683
Prestressed T-Beam,579,591,3249,579,279,263,34,27405.47391,474,1612,200000,3979,502,889,4,1.0031476,B,137.5750799,1119.537535,909.3443631,18.13509555
Prestressed T-Beam,574,1110,5027,574,0,198,22,22044.95407,485,1885,200000,1861,629,743,4,0.9803885,U,387.0044689,729.2900754,916.5353022,9.863907647
Rectangular RC,207,442,4528,1229,186,197,27,24421.91639,402,1760,200000,4027,999,388,5,0.478016,U,24.51565809,313.356408,354.7194539,14.93703209
Rectangular RC,540,1046,7193,540,0,283,38,28972.74581,427,1765,200000,4700,97,796,7,0.983458,U,424.9087915,1044.569355,1878.396842,7.815243245
Rectangular RC,328,926,4838,1297,0,387,30,25742.9602,495,1898,200000,2454,55,168,1,0.2232048,U,179.722824,804.3465297,972.8571277,7.56586911
Rectangular PC,463,664,4360,463,0,373,33,26999.44444,403,1858,200000,3343,771,127,5,0.1651762,B,136.810966,691.6997895,753.9527705,19.17323798
Prestressed T-Beam,356,389,8158,356,0,275,35,27805.57498,439,1642,200000,3216,321,226,7,0.2597644,U,37.18176592,186.7996047,380.9777937,23.85921027
